return-period,upper,lower
1050,101.49270941966704,85.34766324081662
1051,101.50340330577207,85.35651679245699
1052,101.5140865184202,85.36536121606
1053,101.52475907840088,85.37419652970492
1054,101.53542100644157,85.38302275141665
1055,101.54607232321118,85.39183989916856
1056,101.55671304931779,85.40064799088047
1057,101.56734320531184,85.40944704442148
1058,101.57796281168132,85.41823707760594
1059,101.58857188885894,85.42701810819939
1060,101.59917045721474,85.43579015391242
1061,101.60975853706452,85.44455323240773
1062,101.62033614866243,85.45330736129402
1063,101.63090331220549,85.46205255812967
1064,101.64146004783153,85.47078884042108
1065,101.65200637562232,85.47951622562529
1066,101.66254231560288,85.48823473114939
1067,101.67306788773926,85.49694437434879
1068,101.68358311194065,85.50564517252874
1069,101.69408800805834,85.51433714294384
1070,101.7045825958905,85.5230203028017
1071,101.71506689517601,85.53169466925797
1072,101.72554092559773,85.54036025941912
1073,101.7360047067844,85.54901709034387
1074,101.74645825830598,85.55766517903946
1075,101.75690159967944,85.56630454246647
1076,101.76733475036542,85.574935197536
1077,101.77775772976901,85.58355716111026
1078,101.78817055724271,85.59217045000526
1079,101.79857325207924,85.60077508098465
1080,101.80896583352414,85.60937107077031
1081,101.8193483207604,85.61795843602945
1082,101.82972073292366,85.62653719338752
1083,101.84008308909227,85.63510735941966
1084,101.85043540829061,85.64366895065358
1085,101.86077770949224,85.65222198357233
1086,101.87111001161404,85.66076647460928
1087,101.8814323335235,85.66930244015415
1088,101.89174469402992,85.67782989654589
1089,101.90204711189588,85.68634886008206
1090,101.91233960582846,85.69485934701166
1091,101.92262219447993,85.70336137353557
1092,101.93289489645646,85.71185495581399
1093,101.94315773030672,85.72034010995684
1094,101.9534107145306,85.72881685203103
1095,101.96365386757451,85.73728519805661
1096,101.97388720783619,85.74574516401071
1097,101.98411075366117,85.75419676582477
1098,101.99432452334102,85.76264001938284
1099,102.00452853512051,85.77107494052777
1100,102.01472280719182,85.77950154505628
1101,102.02490735769645,85.78791984872062
1102,102.03508220472867,85.7963298672314
1103,102.04524736632676,85.80473161625036
1104,102.05540286048729,85.81312511140224
1105,102.0655487051482,85.82151036826068
1106,102.0756849182044,85.8298874023613
1107,102.08581151749917,85.83825622919443
1108,102.09592852082743,85.84661686420793
1109,102.10603594593375,85.85496932280554
1110,102.11613381051465,85.86331362034876
1111,102.12622213221782,85.87164977215623
1112,102.13630092864426,85.87997779350552
1113,102.14637021734352,85.88829769962926
1114,102.15643001582022,85.89660950572029
1115,102.16648034152881,85.9049132269278
1116,102.17652121187626,85.91320887835904
1117,102.18655264422522,85.92149647508236
1118,102.19657465588529,85.92977603211978
1119,102.20658726412205,85.93804756445448
1120,102.21659048615649,85.94631108703047
1121,102.22658433915747,85.95456661474621
1122,102.23656884025229,85.96281416246339
1123,102.24654400651617,85.97105374499843
1124,102.2565098549831,85.97928537713115
1125,102.26646640263802,85.98750907359856
1126,102.27641366642196,85.99572484909899
1127,102.28635166322582,86.00393271828702
1128,102.29628040990109,86.0121326957823
1129,102.30619992324779,86.02032479615968
1130,102.31611022002402,86.02850903395704
1131,102.32601131694106,86.03668542367122
1132,102.33590323066699,86.04485397976104
1133,102.34578597782324,86.05301471664465
1134,102.35565957498709,86.06116764870123
1135,102.36552403869082,86.06931279027064
1136,102.37537938542272,86.07745015565406
1137,102.38522563162795,86.08557975911485
1138,102.39506279370505,86.09370161487556
1139,102.40489088801118,86.1018157371223
1140,102.41470993085863,86.10992214000191
1141,102.42451993851438,86.11802083762154
1142,102.43432092720506,86.12611184405284
1143,102.44411291311238,86.13419517332812
1144,102.45389591237517,86.14227083944208
1145,102.46366994108766,86.15033885635034
1146,102.47343501530302,86.15839923797252
1147,102.48319115103159,86.16645199819055
1148,102.49293836424158,86.17449715084953
1149,102.50267667085868,86.18253470975719
